602 5,Microwave/Millimeter Wave Amplifiers,6625,6025
602 6,"Electrical/Electronic Parameter, Standards And Calibration Instruments",6625,6026
602 7,Time And Frequency Standards And Calibration Instruments,6625,6027
602 8,Sound And Vibration Standards And Calibration Instruments,6625,6028
602 9,Infrared Radiation And Temperature Standards And Calibration Instruments,6685,6029
603 1,Ph And Ion-Selective Meters,6630,6031
603 10,"Microscopes: Metallographic, Multipurpose And Electron",6650,60310
603 13,Borescopes And Fiberscopes,6650,60313
603 2,Titrators And Titration Systems,6630,6032
603 3,Laboratory Centrifuges,6636,6033
603 4,Microtomes And Microtom Cryostats,6636,6034
603 5,"Laboratory Shakers And Mixers, Accessories And Options",6636,6035
603 7,Tissue Embedding Equipment,6636,6037
603 8,"Microscopes, Conventional Upright Type",6650,6038
603 9,"Microscopes, Inverted Type",6650,6039
615 1,Biomolecule Analyzers Synthesizers,6630,6151
615 18,"Biomedical And Industrial Particle Counting And Sorting Apparatus And Systems And Related Chemistries, Supplies And Consumables",6635,61518
615 19,"Blood Cell Analyzers For Clinical Hematology And Related Chemistries, Supplies And Consumables",6630,61519
615 2,Elemental Analyzers,6630,6152
615 3,Thermal Analysis,6630,6153
615 4,"Gas Chromatograph (GC) And Chromatograph/Mass Spectrometer (GC-MS) Systems And Related Chemistries, Supplies And Consumables",6630,6154
615 5000,"Product Support Options To Include Equipment Maintenance; Repair And Service; Calibration and Calibration Traceability Certificate; Extended Warranties; Technical Training, Technical Support And Application Development Support; And Equipment Leasing",J059,6155000
615 9,"Liquid Chromatographer (LC) And Liquid Chromatographer/ Mass Spectrometer (LC-MS) Systems And Related Chemistries, Supplies And Consumables",6630,6159
627 1,Oscilloscopes And Video Signal Monitors And Analyzers,6625,6271
627 10,Component Analyzers And Testers,6625,62710
627 1007,Introduction To New Services / Products (INSP),6625,6271007
627 11,Circuit (PC Board And IC) Testers,6625,62711
627 12,Telecommunication Line Testers And Analyzers,6625,62712
627 13,Data Communication Equipment Testers And Analyzers,6625,62713
627 14,LightWave Test Instruments,6625,62714
627 15,Signal Generators,6625,62715
627 17,Audio And Video Signal Generators,6625,62717
627 18,Microwave Signal Generators,6625,62718
627 2,Signal Analyzers,6625,6272
627 2000,Equipment Maintenance And Repair,J059,6272000
627 2001,Pre-Purchase Calibration Or Calibration Traceability Certificate,J059,6272001
627 2002,Post Purchase Calibration Or Calibration Traceability Certificate,J059,6272002
627 2003,Extended Warranty,J059,6272003
627 2004,Service Agreement,J059,6272004
627 2005,Technical Training And Support (TTS),R499,6272005
627 2006,Technical/Application Development Support (TADS),R499,6272006
627 22,Electronic Counters And Frequency Meters,6625,62722
627 23,"Voltmeters, Ammeters And Multi-Meters",6625,62723
627 25,Field Strength/Intensity Meters,6625,62725
627 27,Line Power And Signal Power Meters And Line Power Consumption Meters,6625,62727
627 29,Resistance And/Or Conductivity Meters And Bridges,6625,62729
627 3,"RF Communication Monitors, Testers And Analyzers And Global Positioning System (GPS) Receiver Test Sets",6625,6273
627 30,Reactance And Impedance Meters And Bridges,6625,62730
627 31,Inductance And Capacitance Meters And Bridges,6625,62731
627 32,AC Wiring Analyzers,6625,62732
627 33,"Modular Instruments, Mainframes",6625,62733
627 35,"Relay And Circuit Breaker Test Sets And Soldering, Desoldering, And Repair Equipment",6625,62735
627 5,Audio/Distortion Signal Analyzers,6625,6275
627 50,"Unmanned Vehicle Systems, Operations Support, Data Collection, Analysis, Reporting, and Related Services",1550,62750
627 5001,Leasing Of Equipment,W099,6275001
627 6,Electronic Noise Analyzers/Meters,6625,6276
627 7,Network Analyzers,6625,6277
627 8,"Voltage, Current And Line Power Recorders And Analyzers",6625,6278
627 9,Digital Logic Generators And  Analyzers,6625,6279
632 10,"Atomic Absorption, Atomic Emission, And Atomic Fluorescence Spectrometers, Including Inductively Coupled Plasma (IPC) And Inductively Coupled Plasma Mass Spectrometers (IPC/MS) Systems And Related Chemistries, Supplies And Consumables",6650,63210
632 2,"Liquid Scintillation Systems And Gamma Counters, Accessories And Options",6630,6322
632 5,Infrared Spectrometers,6650,6325
632 6,"Ultraviolet, Visible, Infrared, And Near Infrared Spectrophotometers",6650,6326
632 7,Fluorescence Spectrometers,6650,6327
632 9,"X-Ray Spectrometers, Diffractometers, Emission Spectrometers, Including Flame, Spark, Arc And Laser Types, Mass Spectrometers",6650,6329
66 100,"Blood Serum, Urine And Fecal Chemical Analysis, Instruments And Related Chemistries, Supplies And Consumables",6630,66100
66 1000,Professional Scientific Services,R499,661000
66 1002,"Ancillary Supplies And/Or Services And Related Chemistries, Supplies And Consumables",N052,661002
66 102,"Blood Gas Analyzers, Electrolyte Analyzers, Blood Coagulation Analyzers And Timers, Single Test Analyzers And Related Chemistries, Supplies And Consumables",6630,66102
66 107,"Electrophoresis, Including Capillary Electrophoresis And Electrophoration Devices And Systems, Nucleic Acid And Amino Acid Sequencing Systems",6630,66107
66 113,"Hand Operated Pipettors, And Pipetting, Diluting And Dispensing Devices",6640,66113
66 117,"Automated Pipetting And Dispensing Systems, And Laboratory Robotic Labware Handling Devices, Systems",6640,66117
66 118,"Microplate Readers And Washers, And Cell Harvesting Apparatus",6640,66118
66 122,Video Image Analyzers And Analysis Systems,6650,66122
66 136,Animal Caging Equipment,6640,66136
66 137,Laboratory Refrigerators And Freezers,6640,66137
66 139,Environmental Chambers And Plant Growth Chambers,6636,66139
66 141,"Miscellaneous Laboratory Equipment To Include Laboratory Baths; Freeze Drying Apparatus; Tissue Grinding, Processing, Cell Disruption Apparatus; Waste Recovery Systems; Laboratory Pumps; Ware Washers; Dryers; Laboratory Ovens And Furnaces",6636,66141
66 147,Laboratory Fume Hoods,6636,66147
66 148,Laboratory Incubators,6636,66148
66 200,Laboratory Information Management System (LIMS),6640,66200
66 231,"Laboratory Scales, Balances",6670,66231
66 318,"Vehicular Scales, Balances",6670,66318
66 320,"Industrial Scales, Balances",6670,66320
66 501,Equipment Leasing,W099,66501
66 502,Equipment Maintenance And Repair,J059,66502
66 503,"Services And Product Support Options To Include Pre-Purchase Calibration, Post-Purchase Calibration, Extended Warranty And Service Agreements",J059,66503
66 507,Technical Training And Support,R499,66507
66 508,Technical  Application Development Support,R499,66508
66 601,"Water Current Meters, Seawater Sampling And Salinity Measuring Equipment",6655,66601
66 602,Seawater Sampling And Salinity Measuring Equipment,6655,66602
66 603,Seismic Measuring and Recording Instruments,6655,66603
66 604,"Underwater Releases, Transponders, Buoys, And Platforms And Oceanographic Analysis And Display Systems",6655,66604
66 606,"Soil Temperature And Moisture Measuring Instruments, Plant Moisture Analysis Instruments",6655,66606
66 607,"Air Temperature Measuring Instruments, Solar Radiation Measuring Instruments, Barometric Pressure Measuring Instruments",6660,66607
66 608,"Humidity, Precipitation and Wind Measuring Instruments",6660,66608
66 609,"Atmospheric And Video Computer Display System, Video Computer Weather Displays",6660,66609
66 610,"Atmospheric, Meteorological Platforms, Enclosures And Sondes",6660,66610
66 611,Multiparameter Environment And Flood Data Acquisition Systems,6660,66611
66 612,Environmental Data Loggers And Communication Equipment,6660,66612
66 613,"Electronic Distance Measuring Equipment, Theodolites, Engineering and Surveying Level Instruments, Planimeters",6675,66613
66 614,Global Positioning Systems (GPS),6675,66614
66 615,Noise Analyzers,6625,66615
66 616,"Liquid/ Gas Flow Measuring Instruments, Liquid Level Measuring Instruments",6630,66616
66 617,Water Monitors,6630,66617
66 618,"Multi-Parameter Water Quality Instruments, Meters and Analyzers",6630,66618
66 619,"Stack Emission Measuring Equipment, Gas Analyzers, Monitors, Particle Analyzers/Detectors",6630,66619
66 620,"Air Sampling Equipment, Automatic Gas Alarms",6665,66620
66 621,Radioactivity Detectors,6665,66621
66 622,Storage Tank Leak Detectors,6665,66622
873 1,Mechanical Testing And Analysis,H999,8731
873 2,"Chemical Testing And Analysis Services And Related Chemistries, Supplies And Consumables",H999,8732
873 3,Electric Testing And Analysis Services,H999,8733
873 4,Geotechnical And Thermal/FireTesting And Analysis,H999,8734
SIN,SIN Title,PSC ,SIN
19 1,"Film, Paper, Chemical, Processing Equipment for Photographic and Radiographic Applications",6720,191
19 100,Photographic Services and Solutions,6720,19100
20 130,Photographic Laboratory Systems,6720,20130
20 316,Cameras and Accessories mm,6720,20316
20 320,Photo Digital Technologies,6720,20320
262 53,Product Support for Photographic Products and Services,6720,26253
67 100,Photographic analog and digital Cameras and   Imaging Systems and Services (Photo Instrumentation),6720,67100
67 99,New Products/Technology,6720,6799
SIN,SIN Title,PSC ,SIN
132 100,Ancillary Supplies and/or Services - SUBJECT TO COOPERATIVE PURCHASING,7010,132100
132 12,Equipment Maintenance - SUBJECT TO COOPERATIVE PURCHASING,J070,13212
132 3,Leasing of Products - SUBJECT TO COOPERATIVE PURCHASING,W070,1323
132 32,Term Software License - SUBJECT TO COOPERATIVE PURCHASING,7030,13232
132 33,Perpetual Software License - SUBJECT TO COOPERATIVE PURCHASING,7030,13233
132 34,Maintenance of Software as a Service - SUBJECT TO COOPERATIVE PURCHASING,J070,13234
132 4,Daily/Short Term Rental - SUBJECT TO COOPERATIVE PURCHASING,W070,1324
132 40,Cloud Computing Services -  SUBJECT TO COOPERATIVE PURCHASING,D305,13240
132 50,Training Courses  - SUBJECT TO COOPERATIVE PURCHASING,U012,13250
132 51,Information Technology Professional Services - SUBJECT TO COOPERATIVE PURCHASING,D399,13251
132 52,Electronic Commerce and Subscription Services   SUBJECT TO COOPERATIVE PURCHASING,D304,13252
132 53,Wireless Services - SUBJECT TO COOPERATIVE PURCHASING,D304,13253
132 54,Commercial Satellite Communications (COMSATCOM) Transponded Capacity -- SUBJECT TO COOPERATIVE PURCHASING,D304,13254
132 55,Commercial Satellite Communications (COMSATCOM) Subscription Services -- SUBJECT TO COOPERATIVE PURCHASING,D304,13255
132 60A,"Electronic Credentials, Not Identity Proofed (Assurance Level 1 - OMB M-04-04) Managed Service Offering - SUBJECT TO COOPERATIVE PURCHASING",D399,13260A
132 60B,"Electronic Credentials, Identity Proofed (Assurance Level 2   OMB M-04-04) Managed Service Offering - SUBJECT TO COOPERATIVE PURCHASING",D399,13260B
132 60C,"Digital Certificates, including ACES (Assurance Level 3 and 4   OMB M-04-04) - SUBJECT TO COOPERATIVE PURCHASING",D399,13260C
132 60D,E-authentication Hardware Tokens - SUBJECT TO COOPERATIVE PURCHASING,D399,13260D
132 60E,Remote Identity and Access Managed Service Offering - SUBJECT TO COOPERATIVE PURCHASING,D399,13260E
132 60F,Identity and Access Management Professional Services - SUBJECT TO COOPERATIVE PURCHASING,D399,13260F
132 61,Public Key Infrastructure (PKI) Shared Service Providers (PKI SSP) Program,D399,13261
132 62,"Products and services for agencies to implement the requirements of HSPD-12, FIP S-201 and associated NIST special publications. The HSPD-12 implementation components specified under this SIN are:",D399,13262
132 8,Purchase Of New Equipment - SUBJECT TO COOPERATIVE PURCHASING,7010,1328
132 9,Purchase of Used or Refurbished Equipment - SUBJECT TO COOPERATIVE PURCHASING,7010,1329
132 99,Introduction of New Information Technology Services and/or Products  -SUBJECT TO COOPERATIVE PURCHASING,7010,13299
SIN,SIN Title,PSC,SIN
489 103,INTERIOR COMPONENTS,7110,489103
489 154,VAULT DOOR ACCESSORIES,7110,489154
489 157,Utility locker,7110,489157
489 158,Key rack,7110,489158
489 159,Wall key cabinet,7110,489159
489 160,Wall cabinet,7110,489160
489 161,SPECIAL ACCESS CONTROL CONTAINER,7110,489161
489 166,"SAFE, BURGLARY RESISTANT",7110,489166
489 167,Filing cabinet,7110,489167
489 168,"Safe, insulated",7110,489168
489 169,Depository,7110,489169
489 171,ADP safe,7110,489171
489 186,"MODULAR VAULT SYSTEM, GSA APPROVED",7110,489186
489 187,VAULT DESIGN SERVICES,7110,489187
489 188,INSTALLATION SERVICES,7110,489188
489 189,REPAIR PARTS,7110,489189
489 190,"CABINET, SECURITY, INFORMATION PROCESSING SYSTEM STORAGE, CLASS 5",7110,489190
489 192,Room safes,7110,489192
489 193,"Lock, Combination",7110,489193
489 194,"Modular Vault System, Commercial",7110,489194
489 98,International Products,7110,48998
489 99,Introduction of New Products (INP),7110,48999
71 1,Packaged Offices,7110,711
71 100,Healthcare Exam Room,7110,71100
71 101,Healthcare Waiting Room,7110,71101
71 102,Healthcare Long Term Care Room,7110,71102
71 103,Healthcare Office,7110,71103
71 200,Dormitory and Quarters Packaged Rooms,7105,71200
71 201,Cabinets:,7105,71201
71 202,Wall Units:,7105,71202
71 203,Loft Group:,7105,71203
71 204,"Dormitory, Quarters and Residential Casegoods and Beds:",7105,71204
71 205,"Chairs--Dining Room, Desk, Side, Period Style and Bar Stools:",7105,71205
71 206,Upholstered Seating:,7105,71206
71 207,Casual and Outdoor Furniture and Accessories:,7105,71207
71 295,"Residential, Dormitory and Quarters Furniture Installation Services",7105,71295
71 297,"Rental Residential, Dormitory and Quarters Furniture",7105,71297
71 298,"International Residential, Dormitory and Quarters Furniture Products",7105,71298
71 299,"Introduction of New Residential, Dormitory and Quarters Furniture Services/Products (INSP)",7105,71299
71 301,"Complete Daycare, Preschool and Classroom Solutions",7110,71301
71 302,"Training Room, Auditorium and Theater Furniture",7110,71302
71 304,Lecterns.,7110,71304
71 305,Library Furniture.,7110,71305
71 306,Mail Sorting and Distribution Furniture.,7110,71306
71 307,Mail Lock Boxes.,7110,71307
71 308,Cafeteria and Food Service Furniture.,7110,71308
71 309,Clothing Lockers and Locker Benches.,7110,71309
71 310,"INDUSTRIAL AND INSTITUTIONAL FURNITURE: WORKBENCHES, WORKTABLES, WAREHOUSE STORAGE, AND HIGH DENSITY STORAGE CABINETS, MODULAR CABINETS.",7110,71310
71 311,Modular Electronic Equipment Cabinets.,7110,71311
71 312,Hazardous Materials Storage.,7110,71312
71 313,Museum Storage.,7110,71313
71 315,Hospital Patient Room Furniture.,7110,71315
71 316,Hospital and Geriatric Chairs.,7110,71316
71 317,"Chair, Convalescent.",7110,71317
71 318,Patient Service Systems.,7110,71318
71 320,BOOKSTACK.,7110,71320
71 321,Correctional Institution Furniture.,7110,71321
71 393,Special Use Furniture Design Services,7110,71393
71 394,Special Use Furniture Reconfiguration Services,7110,71394
71 395,Special Use Furniture Installation Services,7110,71395
71 396,Leased Special Use Furniture.,7110,71396
71 397,Rental Special Use Furniture,7110,71397
71 398,International Special Use Furniture Products,7110,71398
71 399,Introduction of New Special Use Furniture Services/Products (INSP),7110,71399
71 90,Ancillary Supplies and/or Services,7110,7190
71 98,International Packaged Room Furniture,7110,7198
71 99,Introduction to New Packaged Room Services/Products,7110,7199
711 1,Furniture Systems and Workstation Clusters,7110,7111
711 10,Executive Furniture Single Item Accent & Speciality Pieces,7110,71110
711 11,Tables and Accessories,7110,71111
711 12,System Type Tables and Accessories,7110,71112
711 13,"Acoustical Partitions, Demountable Walls, and Accessories",7110,71113
711 14,Vertical Surface Attachment Panels and Accessories,7110,71114
711 15,Acoustical Wall Treatments,7110,71115
711 16,Upholstered Seating,7110,71116
711 17,Multiple Seating,7110,71117
711 18,Multipurpose Seating,7110,71118
711 19,Stacking Chairs and Dollies or Trucks Designed to Support Stacking Chairs,7110,71119
711 2,"Worksurfaces, Workstations, Computer Furniture and Accessories",7110,7112
711 20,"Display and Communication Boards, Wall Stations, and Accessories",7110,71120
711 3,"Filing and Storage Cabinets, Shelves, Mobile Carts, Dollies, Racks & Accessories",7110,7113
711 4,Blueprint Filing Cabinets,7110,7114
711 5,Card Files,7110,7115
711 6,Form Files,7110,7116
711 7,"High Density, Movable Filing Systems and Accessories",7110,7117
711 8,Executive Office Furniture,7110,7118
711 9,"Executive Conference Room Furniture, Coordinated Tables, Case Pieces and Accessories",7110,7119
711 91,Project Management (Furniture Related):,7110,71191
711 92,Remanufactured Furniture,7110,71192
711 93,Reconfiguration and Relocation Services,7110,71193
711 94,Office Design/Layout Services,7110,71194
711 95,Office Furniture Installation Services,7110,71195
711 96,Leased Office Furniture Systems,7110,71196
711 97,Rental Office Furniture,7110,71197
711 98,International Office Furniture,7110,71198
711 99,Introduction of New Office Furniture Services/Products,7110,71199
SIN,SIN Title,PSC,SIN
712 1,Project Management (Furniture/Furnishings Related),N071,7121
712 2,Assets Management (Furniture and Furnishings Related),N071,7122
712 3,Reconfiguration/Relocation Management (Furniture and Furniture Related),N071,7123
712 4,Furniture Design/Layout,N071,7124
712 6,(Furniture and Furniture Related) - Assets Maintenance,N071,7126
712 97,Ancillary Repair and Alterations,N071,71297
712 99,Introduction of New Services/Products,N071,71299
SIN,SIN Title,PSC,SIN
31 301,Broadloom carpet,7220,31301
31 302,Broadloom carpet,7220,31302
31 303,Carpet tiles,7220,31303
31 304,Special use broadloom carpet and carpet tiles.,7220,31304
31 305,Carpet cushion,7220,31305
31 401,Resilient (hard surface) tile,7220,31401
31 402,Resilient (hard surface) sheet flooring,7220,31402
31 501,Mats and matting (with and without logos),7220,31501
31 502,Mats and matting (with and without logos),7220,31502
31 601,"Recycled and/or biobased content (as defined in the Farm Security and Rural Investment Act of 2002, as amended) flooring",7220,31601
31 602,Flooring Recycling Programs,7220,31602
31 604,Ancillary Supplies and Services,7220,31604
31 998,FLOOR COVERINGS,7220,31998
31 999,FLOOR COVERINGS,7220,31999
722 01,LAMPS/SHADES,6230,72201
722 02,WINDOW TREATMENTS,7230,72202
722 03,COORDINATING BEDSPREADS AND COMFORTERS,7210,72203
722 04,CUBICLE CURTAINS AND HARDWARE,7230,72204
722 05,"WALL ART INCLUDING PAINTINGS, PHOTOGRAPHS, AND POSTERS",7290,72205
722 06,"ARTIFICIAL TREES, PLANTS, DRIED FOLIAGE, AND PLANTERS FOR INDOOR USE.",7290,72206
722 08,Ancillary Supplies and Services (Small Business Set Aside),N072,72208
722 97,OVERSEAS (INTERNATIONAL) PRODUCTS,7230,72297
722 98,OVERSEAS (INTERNATIONAL) FABRIC,7230,72298
722 99,INTRODUCTION OF NEW PRODUCTS,7230,72299
SIN,SIN Title,PSC,SIN
302 1,Kitchen Management Solutions,7310,3021
302 15,Sanitation and Warewashing Equipment,3910,30215
302 2,Emergency and Non-Emergency Food Service Support,7310,3022
302 20,Food Preparation Equipment,7320,30220
302 28,Food Service Carts and Holding and Transport Equipment,7310,30228
302 29,Food Measuring and Testing Devices,6670,30229
302 3,Cooking Equipment,7310,3023
302 30,Food Serving and Merchandising Equipment,7195,30230
302 34,Hot and Cold Food Counters,7195,30234
302 36,Food and Beverage Dispensing Equipment,7310,30236
302 40,"Food Preparation and Storage Smallwares,",7125,30240
302 41,Food Service Items,7320,30241
302 42,Food Service Storage Racks and Cabinets,7125,30242
302 49,Refrigeration Equipment,4110,30249
302 56,Concession Equipment,7310,30256
302 65,Kitchens in Minutes,7360,30265
302 72,Kiosks Food Center Concepts,7360,30272
302 74,Tableware,7340,30274
302 98,Ancillary Services Related to Food Service Equipment,J073,30298
302 99,Introduction of New Services and Products Related to Food Service Equipment,3910,30299
375 100,Vacuum Cleaner Canister Type,7910,375100
375 103,Vacuum Cleaner Upright Type,7910,375103
375 107,Vacuum Cleaner Portable Hand Type,7910,375107
375 117,"Carpet Cleaner, including Shampooer, Extractor, Liquid or Powder",7910,375117
375 125,Sweeper and Scrubber,7910,375125
375 129,Floor Machine,7910,375129
375 135,Accessories and Attachments,7910,375135
375 139,"Parts, Repair and Replacement, Miscellaneous for Cleaning Equipment",7910,375139
375 200,"Mops, Buckets, Wringers, Squeegees, Brooms, Brushes, Sponges, Scouring Pads, Wiping Rags, Cleaning Cloths, Chamois, Polishing Pads, Cleaning Products, and Related Items",7920,375200
375 321,Powdered and Liquid Machine Warewashing (Dishwashing) Compounds and Rinse Additives,7930,375321
375 323,"Laundry Cleaner, Powdered and Liquid, and Dry Cleaning Chemicals",7930,375323
375 341,Floor and Carpet Chemical Products,7930,375341
375 351,Sorbents,7930,375351
375 352,Sorbents,7930,375352
375 353,Sorbents,7930,375353
375 355,Sorbent Accessories,7930,375355
375 356,Sweeping Compounds,7930,375356
375 361,Biodegradable Cleaner/Degreaser (Water Based) Non-Phenolic and Non-Petrolemm,7930,375361
375 362,Biodegradable Cleaner/Degreaser (Solvent Based) Non-Phenolic and Non-petroleum,7930,375362
375 363,Cleaners/Degreasers,7930,375363
375 364,Cleaner/Degreasers and Polishes,7930,375364
375 368,"Gloves, Cleaning, Rubber",8465,375368
375 371,Cleaning Chemical Dispensing Equipment and Systems,7930,375371
375 372,Cleaning Chemicals used with Dispensing Systems,7930,375372
375 391,"Auto Cleaners/Polishers, Air Fresheners, and Windshield Care",7930,375391
375 393,Tire Care:,7930,375393
375 99,"Introduction of New Products/Services relating to Cleaning Equipment, Janitorial Supplies, Cleaning Chemicals and Sorbents",7920,37599
384 2,Office Recycling Containers and Waste Receptacles,7240,3842
384 4,Outdoor Recycling Containers and Waste Receptacles,7240,3844
384 9,Industrial Trash Storage Containers,3990,3849
384 99,Introduction of New Services and Products relating to Recycling Containers and Waste Receptacles,7310,38499
476 12,"Sterilants, Surgical Scrubs, and Related Products",6840,47612
476 13,Disinfectants,6840,47613
507 2,"Permanent/Disposable dispenser housing and refills for the control of general institutional airborneodors, smoke, and sanitizing surfaces",6840,5072
507 4,"Toilet Bowl Cleaner, liquid, powder, and/or gel and product",6810,5074
507 8,Sanitizers for Food Handling Areas,6840,5078
507 9,Insect Repellent,6840,5079
507 99,Introduction of New Products/Services related to chemicals and chemical products,6840,50799
524 1,Fuel Oil Additive,6850,5241
524 2,"Boiler Feed, Cooling Water, and Closed Water Treatment Chemicals",6810,5242
655 01,Propane,6830,65501
655 03,Service/Repair and or Rental Demurrage relating to Propane,6850,65503
658 1,Water Purification Chemicals,6850,6581
681 1,Road Stabilization/Ice Melting Chemicals or Chemical Formulations,6810,6811
681 2,Aircraft Deicers,6850,6812
681 4,"Antifreeze, Fuel Engine Primer, Penetrates, and Related Products -^^^^NOTE: Commercially available products under this SIN may be covered by the U.S. Environmental Protection Agency Comprehensive Procurement Guidelines (recycled content) program.",6850,6814
852 1,Toiletries,8520,8521
852 2,Personal Care Articles,7290,8522
852 3,Lodging and Hospitality Supplies and Services,7210,8523
852 4,Hospitality Wear,8415,8524
852 7,Linens,7210,8527
852 99,"Introduction of New Products/Services relating to toiletries, personal care articles, and hospitality supplies and services",7210,85299
SIN,SIN Title,PSC,SIN
736 1,"ADMINISTRATIVE SUPPORT AND CLERICAL OCCUPATIONS (with and/or without security clearances, i.e. Secret, Top Secret, and Top Secret SCI, etc.):  This SIN is set aside for small business concerns only.",R699,7361
736 2,"AUTOMATIC DATA PROCESSING OCCUPATIONS (with and/or without security clearances, i.e. Secret, Top Secret, and Top Secret SCI):  This SIN is set aside for small business concerns only.",R699,7362
736 3,"GENERAL SERVICES AND SUPPORT (with and/or without security clearances, i.e. Secret, Top Secret, and Top Secret SCI):  This SIN is set aside for small business concerns only.",R699,7363
736 4,"INFORMATION AND ARTS OCCUPATIONS, INCLUDING MISCELLANEOUS OCCUPATIONS (with and/or without security clearances, i.e. Secret, Top Secret, and Top Secret SCI):  This SIN is set aside for small business concerns only.",R699,7364
736 5,"TECHNICAL AND PROFESSIONAL OCCUPATIONS (with and/or without security clearances, i.e. Secret, Top Secret, and Top Secret SCI):  This SIN is set aside for small business concerns only.",R699,7365
736 99,"INTRODUCTION OF NEW LABOR CATEGORIES FOR TEMPORARY SERVICES (with and/or without security clearances, i.e. Secret, Top Secret, and Top Secret SCI):  This SIN is set aside for small business concerns only.",R699,73699
SIN,SIN Title,PSC,SIN
595 21, HUMAN RESOURCE SERVICES (Excluding EEO Services),R799,59521
595 22,Private Shared Service Center for Core HR Services:,R799,59522
595 25,EEO Services,R499,59525
595 26,Private Shared Service Center for non-Core HR Services (offered by contractors awarded 595-22):,R799,59526
595 27,Pre-Employment Background Investigations,R499,59527
595 28,"Social Services, Professional Counseling and Veterans  Readjustment & Behavioral Health Services",R799,59528
SIN,SIN Title,PSC ,SIN
75 200,OFFICE PRODUCTS/SUPPLIES,7510,75200
75 210,OFFICE SERVICES,T099,75210
75 85,Restroom Products,7510,7585
75 99,NEW PRODUCTS/TECHNOLOGY,7510,7599
SIN,SIN Title,PSC ,SIN
751 1,"Lease of Sedans, All Classes",W023,7511
751 2,Lease of Sport Utility Vehicles,W023,7512
751 3,Lease of Vans & Light Trucks,W023,7513
751 4,Ancillary Supplies and/or Services -,W023,7514
SIN,SIN Title,PSC,SIN
760 1,Books/Pamphlets,7610,7601
760 2,Periodicals/Subscriptions Services,7630,7602
760 3,"Editorial, Publishing, and Library Media Services:",R499,7603
760 4,On-Line Bookselling Services and Associated Items,7690,7604
760 5,Lending Library Services,W076,7605
760 6,"Entertainment,  News, and Library Media:",7690,7606
SIN,SIN Title,PSC,SIN
192 02,Sporting Goods Equipment and Supplies  /n,7810,19202
192 03,Fitness Center Management Services,M1FB,19203
192 04,Personal Trainer and Aerobic/Cardio Class Leader/Instructor,R497,19204
192 05,Fitness Center Equipment Maintenance,J099,19205
192 06,Packaged Fitness Center,7810,19206
192 08,Fitness equipment   /n,7810,19208
192 09,"Turfs, Greens and Floors Galore /n",7220,19209
192 19,Poolside /n,7830,19219
192 33A,Camping and Hiking Equipment,5419,19233A
192 37B,"Park and Recreational Tables, Benches, Outdoor Pool and Patio Furniture and Bleachers",5450,19237B
192 37I,Park and Playground Equipment,7830,19237I
192 41,Sounds of Music,7710,19241
192 42,Child's Play,7820,19242
192 45,Sports Clothing and Accessories /n,8415,19245
192 99,"Introduction of New Products/Services relating to Athletic Clothing, Recreational Equipment, and Musical Instruments/n",7810,19299
192 99A,Introduction of New Products and Services Relating to Park and Outdoor Recreational Equipment and Wheel and Track Vehicles/n,5419,19299A
251 1,Wheel and Track Vehicles,2340,2511
251 13,"Mobile Homes, Travel Trailers with Ancillary Services",2330,25113
251 22,Recreational Watercraft,1990,25122
251 6,"Utility Vehicle, Unlicensed, Off-Road, Automotive Design",2410,2516
366 11,Signs -,9905,36611
366 12,Safety Zone Products /n,4240,36612
366 22,"Trade Show Displays, Exhibit Systems and Related Products",9905,36622
366 23,"Flags, Banners, Pennants, and Related Products",8345,36623
366 90,Ancillary Supplies and/or Services -,9999,36690
366 99,Introduction of New Products/Services Relating to Signs and Safety Zone Products,9905,36699
402 5,Awards /n,8455,4025
402 7,"Pens & Writing Implements, Rulers, Tape Measures, Magnets, Stress Indicators, Key Tags, Key Rings, Luggage Tags, Pocket Tools, Ice Scrapers, Mugs, Glassware, Plates and Bowls suitable for Engraving, Imprintable Planners, Portfolios, Calculators, Briefcases, Carrying Cases, Bags and Accessories, Imprintable Computer Accessories, including Mouse Pads and Wrists Rests",7510,4027
402 99,"Introduction of New Products/Services related to Trophies, Awards, Presentations, Promotional Materials, Flags, Briefcases, and Carrying Cases/n",9905,40299
SIN,SIN Title,PSC ,SIN
617 1,Bags and sacks,8105,6171
617 10,Packaging services.,8135,61710
617 11,"Maintenance, Repair and Modification of Containers",8135,61711
617 12,"Pallets, Plastic and Wood",8135,61712
617 13,Unique Identification (UID) / Radio Frequency Identification (RFID,8135,61713
617 2,"Bottles, jars, boxes, cartons, crates, container systems and metal drums.",8110,6172
617 3,Wrapping and strapping materials,8135,6173
617 4,Packaging and packing bulk materials,8135,6174
617 5,"Performance-Oriented Packaging (POP), plastic over pack, and hazardous material packaging.",8135,6175
617 7,Aluminum Foil,8135,6177
617 8,New Technology,8105,6178
SIN,SIN Title,PSC,SIN
246 01,Smart Buildings Systems Integrator,R425,24601
246 1000,"Security, Alarm & Signal Systems",6350,2461000
246 20 1,Miscellaneous Alarm and Signal Systems. Process Monitoring/Fault Reporting Devices or Systems  - SUBJECT TO COOPERATIVE PURCHASING,6350,246201
246 20 2,Miscellaneous Alarm and Signal Systems  - SUBJECT TO COOPERATIVE PURCHASING,6350,246202
